"STATISTIC","Quarter","Age at Death","UNIT","VALUE"
"Deaths Registered Provisional","1976Q1","1 to 4 Years","Number","48"
"Deaths Registered Provisional","1976Q1","5 to 14 Years","Number","45"
"Deaths Registered Provisional","1976Q1","15 to 24 Years","Number","62"
"Deaths Registered Provisional","1976Q1","25 to 34 Years","Number","72"
"Deaths Registered Provisional","1976Q1","35 to 44 Years","Number","154"
"Deaths Registered Provisional","1976Q1","45 to 54 Years","Number","421"
"Deaths Registered Provisional","1976Q1","55 to 64 Years","Number","1083"
"Deaths Registered Provisional","1976Q1","65 to 74 Years","Number","2178"
"Deaths Registered Provisional","1976Q1","75 Years and Over","Number","4387"
"Deaths Registered Provisional","1976Q2","Under 1 Year","Number","273"
"Deaths Registered Provisional","1976Q2","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","1976Q2","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","1976Q2","Under 7 Days","Number",""
"Deaths Registered Provisional","1976Q2","1 to 7 Days","Number",""
"Deaths Registered Provisional","1976Q2","Under 1 Day","Number",""
"Deaths Registered Provisional","1976Q2","1 to 4 Years","Number","58"
"Deaths Registered Provisional","1976Q2","5 to 14 Years","Number","63"
"Deaths Registered Provisional","1976Q2","15 to 24 Years","Number","109"
"Deaths Registered Provisional","1976Q2","25 to 34 Years","Number","99"
"Deaths Registered Provisional","1976Q2","35 to 44 Years","Number","165"
"Deaths Registered Provisional","1976Q2","45 to 54 Years","Number","486"
"Deaths Registered Provisional","1976Q2","55 to 64 Years","Number","1225"
"Deaths Registered Provisional","1976Q2","65 to 74 Years","Number","2349"
"Deaths Registered Provisional","1976Q2","75 Years and Over","Number","4488"
"Deaths Registered Provisional","1976Q3","Under 1 Year","Number","236"
"Deaths Registered Provisional","1976Q3","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","1976Q3","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","1976Q3","Under 7 Days","Number",""
"Deaths Registered Provisional","1976Q3","1 to 7 Days","Number",""
"Deaths Registered Provisional","1976Q3","Under 1 Day","Number",""
"Deaths Registered Provisional","1976Q3","1 to 4 Years","Number","37"
"Deaths Registered Provisional","1976Q3","5 to 14 Years","Number","49"
"Deaths Registered Provisional","1976Q3","15 to 24 Years","Number","103"
"Deaths Registered Provisional","1976Q3","25 to 34 Years","Number","93"
"Deaths Registered Provisional","1976Q3","35 to 44 Years","Number","151"
"Deaths Registered Provisional","1976Q3","45 to 54 Years","Number","410"
"Deaths Registered Provisional","1976Q3","55 to 64 Years","Number","996"
"Deaths Registered Provisional","1976Q3","65 to 74 Years","Number","1820"
"Deaths Registered Provisional","1976Q3","75 Years and Over","Number","3320"
"Deaths Registered Provisional","1976Q4","Under 1 Year","Number","236"
"Deaths Registered Provisional","1976Q4","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","1976Q4","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","1976Q4","Under 7 Days","Number",""
"Deaths Registered Provisional","1976Q4","1 to 7 Days","Number",""
"Deaths Registered Provisional","1976Q4","Under 1 Day","Number",""
"Deaths Registered Provisional","1976Q4","1 to 4 Years","Number","37"
"Deaths Registered Provisional","1976Q4","5 to 14 Years","Number","50"
"Deaths Registered Provisional","1976Q4","15 to 24 Years","Number","108"
"Deaths Registered Provisional","1976Q4","25 to 34 Years","Number","102"
"Deaths Registered Provisional","1976Q4","35 to 44 Years","Number","146"
"Deaths Registered Provisional","1976Q4","45 to 54 Years","Number","428"
"Deaths Registered Provisional","1976Q4","55 to 64 Years","Number","1102"
"Deaths Registered Provisional","1976Q4","65 to 74 Years","Number","2124"
"Deaths Registered Provisional","1976Q4","75 Years and Over","Number","3718"
"Deaths Registered Provisional","1977Q1","Under 1 Year","Number","259"
"Deaths Registered Provisional","1977Q1","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","1977Q1","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","1977Q1","Under 7 Days","Number",""
"Deaths Registered Provisional","1977Q1","1 to 7 Days","Number",""
"Deaths Registered Provisional","1977Q1","Under 1 Day","Number",""
"Deaths Registered Provisional","1977Q1","1 to 4 Years","Number","47"
"Deaths Registered Provisional","1977Q1","5 to 14 Years","Number","53"
"Deaths Registered Provisional","1977Q1","15 to 24 Years","Number","84"
"Deaths Registered Provisional","1977Q1","25 to 34 Years","Number","71"
"Deaths Registered Provisional","1977Q1","35 to 44 Years","Number","139"
"Deaths Registered Provisional","1977Q1","45 to 54 Years","Number","481"
"Deaths Registered Provisional","1977Q1","55 to 64 Years","Number","1164"
"Deaths Registered Provisional","1977Q1","65 to 74 Years","Number","2407"
"Deaths Registered Provisional","1977Q1","75 Years and Over","Number","4396"
"Deaths Registered Provisional","1977Q2","Under 1 Year","Number","301"
"Deaths Registered Provisional","1977Q2","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","1977Q2","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","1977Q2","Under 7 Days","Number",""
"Deaths Registered Provisional","1977Q2","1 to 7 Days","Number",""
"Deaths Registered Provisional","1977Q2","Under 1 Day","Number",""
"Deaths Registered Provisional","1977Q2","1 to 4 Years","Number","37"
"Deaths Registered Provisional","1977Q2","5 to 14 Years","Number","52"
"Deaths Registered Provisional","1977Q2","15 to 24 Years","Number","68"
"Deaths Registered Provisional","1977Q2","25 to 34 Years","Number","76"
"Deaths Registered Provisional","1977Q2","35 to 44 Years","Number","140"
"Deaths Registered Provisional","1977Q2","45 to 54 Years","Number","462"
"Deaths Registered Provisional","1977Q2","55 to 64 Years","Number","1150"
"Deaths Registered Provisional","1977Q2","65 to 74 Years","Number","2222"
"Deaths Registered Provisional","1977Q2","75 Years and Over","Number","4096"
"Deaths Registered Provisional","1977Q3","Under 1 Year","Number","245"
"Deaths Registered Provisional","1977Q3","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","1977Q3","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","1977Q3","Under 7 Days","Number",""
"Deaths Registered Provisional","1977Q3","1 to 7 Days","Number",""
"Deaths Registered Provisional","1977Q3","Under 1 Day","Number",""
"Deaths Registered Provisional","1977Q3","1 to 4 Years","Number","55"
"Deaths Registered Provisional","1977Q3","5 to 14 Years","Number","75"
"Deaths Registered Provisional","1977Q3","15 to 24 Years","Number","98"
"Deaths Registered Provisional","1977Q3","25 to 34 Years","Number","85"
"Deaths Registered Provisional","1977Q3","35 to 44 Years","Number","153"
"Deaths Registered Provisional","1977Q3","45 to 54 Years","Number","417"
"Deaths Registered Provisional","1977Q3","55 to 64 Years","Number","1054"
"Deaths Registered Provisional","1977Q3","65 to 74 Years","Number","1980"
"Deaths Registered Provisional","1977Q3","75 Years and Over","Number","3474"
"Deaths Registered Provisional","1977Q4","Under 1 Year","Number","268"
"Deaths Registered Provisional","1977Q4","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","1977Q4","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","1977Q4","Under 7 Days","Number",""
"Deaths Registered Provisional","1977Q4","1 to 7 Days","Number",""
"Deaths Registered Provisional","1977Q4","Under 1 Day","Number",""
"Deaths Registered Provisional","1977Q4","1 to 4 Years","Number","42"
"Deaths Registered Provisional","1977Q4","5 to 14 Years","Number","61"
"Deaths Registered Provisional","1977Q4","15 to 24 Years","Number","118"
"Deaths Registered Provisional","1977Q4","25 to 34 Years","Number","82"
"Deaths Registered Provisional","1977Q4","35 to 44 Years","Number","151"
"Deaths Registered Provisional","1977Q4","45 to 54 Years","Number","417"
"Deaths Registered Provisional","1977Q4","55 to 64 Years","Number","1119"
"Deaths Registered Provisional","1977Q4","65 to 74 Years","Number","2162"
"Deaths Registered Provisional","1977Q4","75 Years and Over","Number","3664"
"Deaths Registered Provisional","1978Q1","Under 1 Year","Number","271"
"Deaths Registered Provisional","1978Q1","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","1978Q1","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","1978Q1","Under 7 Days","Number",""
"Deaths Registered Provisional","1978Q1","1 to 7 Days","Number",""
"Deaths Registered Provisional","1978Q1","Under 1 Day","Number",""
"Deaths Registered Provisional","1978Q1","1 to 4 Years","Number","46"
"Deaths Registered Provisional","1978Q1","5 to 14 Years","Number","52"
"Deaths Registered Provisional","1978Q1","15 to 24 Years","Number","98"
"Deaths Registered Provisional","1978Q1","25 to 34 Years","Number","115"
"Deaths Registered Provisional","1978Q1","35 to 44 Years","Number","165"
"Deaths Registered Provisional","1978Q1","45 to 54 Years","Number","463"
"Deaths Registered Provisional","1978Q1","55 to 64 Years","Number","1238"
"Deaths Registered Provisional","1978Q1","65 to 74 Years","Number","2466"
"Deaths Registered Provisional","1978Q1","75 Years and Over","Number","4820"
"Deaths Registered Provisional","1978Q2","Under 1 Year","Number","293"
"Deaths Registered Provisional","1978Q2","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","1978Q2","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","1978Q2","Under 7 Days","Number",""
"Deaths Registered Provisional","1978Q2","1 to 7 Days","Number",""
"Deaths Registered Provisional","1978Q2","Under 1 Day","Number",""
"Deaths Registered Provisional","1978Q2","1 to 4 Years","Number","64"
"Deaths Registered Provisional","1978Q2","5 to 14 Years","Number","61"
"Deaths Registered Provisional","1978Q2","15 to 24 Years","Number","86"
"Deaths Registered Provisional","1978Q2","25 to 34 Years","Number","116"
"Deaths Registered Provisional","1978Q2","35 to 44 Years","Number","175"
"Deaths Registered Provisional","1978Q2","45 to 54 Years","Number","458"
"Deaths Registered Provisional","1978Q2","55 to 64 Years","Number","1196"
"Deaths Registered Provisional","1978Q2","65 to 74 Years","Number","2262"
"Deaths Registered Provisional","1978Q2","75 Years and Over","Number","4038"
"Deaths Registered Provisional","1978Q3","Under 1 Year","Number","229"
"Deaths Registered Provisional","1978Q3","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","1978Q3","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","1978Q3","Under 7 Days","Number",""
"Deaths Registered Provisional","1978Q3","1 to 7 Days","Number",""
"Deaths Registered Provisional","1978Q3","Under 1 Day","Number",""
"Deaths Registered Provisional","1978Q3","1 to 4 Years","Number","29"
"Deaths Registered Provisional","1978Q3","5 to 14 Years","Number","54"
"Deaths Registered Provisional","1978Q3","15 to 24 Years","Number","86"
"Deaths Registered Provisional","1978Q3","25 to 34 Years","Number","100"
"Deaths Registered Provisional","1978Q3","35 to 44 Years","Number","136"
"Deaths Registered Provisional","1978Q3","45 to 54 Years","Number","430"
"Deaths Registered Provisional","1978Q3","55 to 64 Years","Number","1020"
"Deaths Registered Provisional","1978Q3","65 to 74 Years","Number","1871"
"Deaths Registered Provisional","1978Q3","75 Years and Over","Number","3238"
"Deaths Registered Provisional","1978Q4","Under 1 Year","Number","247"
"Deaths Registered Provisional","1978Q4","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","1978Q4","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","1978Q4","Under 7 Days","Number",""
"Deaths Registered Provisional","1978Q4","1 to 7 Days","Number",""
"Deaths Registered Provisional","1978Q4","Under 1 Day","Number",""
"Deaths Registered Provisional","1978Q4","1 to 4 Years","Number","45"
"Deaths Registered Provisional","1978Q4","5 to 14 Years","Number","53"
"Deaths Registered Provisional","1978Q4","15 to 24 Years","Number","102"
"Deaths Registered Provisional","1978Q4","25 to 34 Years","Number","93"
"Deaths Registered Provisional","1978Q4","35 to 44 Years","Number","141"
"Deaths Registered Provisional","1978Q4","45 to 54 Years","Number","406"
"Deaths Registered Provisional","1978Q4","55 to 64 Years","Number","1026"
"Deaths Registered Provisional","1978Q4","65 to 74 Years","Number","1921"
"Deaths Registered Provisional","1978Q4","75 Years and Over","Number","3341"
"Deaths Registered Provisional","1979Q1","Under 1 Year","Number","250"
"Deaths Registered Provisional","1979Q1","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","1979Q1","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","1979Q1","Under 7 Days","Number",""
"Deaths Registered Provisional","1979Q1","1 to 7 Days","Number",""
"Deaths Registered Provisional","1979Q1","Under 1 Day","Number",""
"Deaths Registered Provisional","1979Q1","1 to 4 Years","Number","48"
"Deaths Registered Provisional","1979Q1","5 to 14 Years","Number","30"
"Deaths Registered Provisional","1979Q1","15 to 24 Years","Number","101"
"Deaths Registered Provisional","1979Q1","25 to 34 Years","Number","96"
"Deaths Registered Provisional","1979Q1","35 to 44 Years","Number","178"
"Deaths Registered Provisional","1979Q1","45 to 54 Years","Number","458"
"Deaths Registered Provisional","1979Q1","55 to 64 Years","Number","1179"
"Deaths Registered Provisional","1979Q1","65 to 74 Years","Number","2462"
"Deaths Registered Provisional","1979Q1","75 Years and Over","Number","4709"
"Deaths Registered Provisional","1979Q2","Under 1 Year","Number","210"
"Deaths Registered Provisional","1979Q2","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","1979Q2","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","1979Q2","Under 7 Days","Number",""
"Deaths Registered Provisional","1979Q2","1 to 7 Days","Number",""
"Deaths Registered Provisional","1979Q2","Under 1 Day","Number",""
"Deaths Registered Provisional","1979Q2","1 to 4 Years","Number","50"
"Deaths Registered Provisional","1979Q2","5 to 14 Years","Number","36"
"Deaths Registered Provisional","1979Q2","15 to 24 Years","Number","103"
"Deaths Registered Provisional","1979Q2","25 to 34 Years","Number","104"
"Deaths Registered Provisional","1979Q2","35 to 44 Years","Number","138"
"Deaths Registered Provisional","1979Q2","45 to 54 Years","Number","431"
"Deaths Registered Provisional","1979Q2","55 to 64 Years","Number","1147"
"Deaths Registered Provisional","1979Q2","65 to 74 Years","Number","2310"
"Deaths Registered Provisional","1979Q2","75 Years and Over","Number","3871"
"Deaths Registered Provisional","1979Q3","Under 1 Year","Number","218"
"Deaths Registered Provisional","1979Q3","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","1979Q3","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","1979Q3","Under 7 Days","Number",""
"Deaths Registered Provisional","1979Q3","1 to 7 Days","Number",""
"Deaths Registered Provisional","1979Q3","Under 1 Day","Number",""
"Deaths Registered Provisional","1979Q3","1 to 4 Years","Number","41"
"Deaths Registered Provisional","1979Q3","5 to 14 Years","Number","44"
"Deaths Registered Provisional","1979Q3","15 to 24 Years","Number","82"
"Deaths Registered Provisional","1979Q3","25 to 34 Years","Number","93"
"Deaths Registered Provisional","1979Q3","35 to 44 Years","Number","157"
"Deaths Registered Provisional","1979Q3","45 to 54 Years","Number","385"
"Deaths Registered Provisional","1979Q3","55 to 64 Years","Number","986"
"Deaths Registered Provisional","1979Q3","65 to 74 Years","Number","1936"
"Deaths Registered Provisional","1979Q3","75 Years and Over","Number","3321"
"Deaths Registered Provisional","1979Q4","Under 1 Year","Number","220"
"Deaths Registered Provisional","1979Q4","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","1979Q4","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","1979Q4","Under 7 Days","Number",""
"Deaths Registered Provisional","1979Q4","1 to 7 Days","Number",""
"Deaths Registered Provisional","1979Q4","Under 1 Day","Number",""
"Deaths Registered Provisional","1979Q4","1 to 4 Years","Number","43"
"Deaths Registered Provisional","1979Q4","5 to 14 Years","Number","60"
"Deaths Registered Provisional","1979Q4","15 to 24 Years","Number","117"
"Deaths Registered Provisional","1979Q4","25 to 34 Years","Number","114"
"Deaths Registered Provisional","1979Q4","35 to 44 Years","Number","149"
"Deaths Registered Provisional","1979Q4","45 to 54 Years","Number","392"
"Deaths Registered Provisional","1979Q4","55 to 64 Years","Number","1039"
"Deaths Registered Provisional","1979Q4","65 to 74 Years","Number","1961"
"Deaths Registered Provisional","1979Q4","75 Years and Over","Number","3521"
"Deaths Registered Provisional","1980Q1","Under 1 Year","Number","215"
"Deaths Registered Provisional","1980Q1","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","1980Q1","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","1980Q1","Under 7 Days","Number",""
"Deaths Registered Provisional","1980Q1","1 to 7 Days","Number",""
"Deaths Registered Provisional","1980Q1","Under 1 Day","Number",""
"Deaths Registered Provisional","1980Q1","1 to 4 Years","Number","32"
"Deaths Registered Provisional","1980Q1","5 to 14 Years","Number","53"
"Deaths Registered Provisional","1980Q1","15 to 24 Years","Number","93"
"Deaths Registered Provisional","1980Q1","25 to 34 Years","Number","77"
"Deaths Registered Provisional","1980Q1","35 to 44 Years","Number","157"
"Deaths Registered Provisional","1980Q1","45 to 54 Years","Number","425"
"Deaths Registered Provisional","1980Q1","55 to 64 Years","Number","1108"
"Deaths Registered Provisional","1980Q1","65 to 74 Years","Number","2275"
"Deaths Registered Provisional","1980Q1","75 Years and Over","Number","4254"
"Deaths Registered Provisional","1980Q2","Under 1 Year","Number","224"
"Deaths Registered Provisional","1980Q2","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","1980Q2","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","1980Q2","Under 7 Days","Number",""
"Deaths Registered Provisional","1980Q2","1 to 7 Days","Number",""
"Deaths Registered Provisional","1980Q2","Under 1 Day","Number",""
"Deaths Registered Provisional","1980Q2","1 to 4 Years","Number","45"
"Deaths Registered Provisional","1980Q2","5 to 14 Years","Number","47"
"Deaths Registered Provisional","1980Q2","15 to 24 Years","Number","107"
"Deaths Registered Provisional","1980Q2","25 to 34 Years","Number","103"
"Deaths Registered Provisional","1980Q2","35 to 44 Years","Number","136"
"Deaths Registered Provisional","1980Q2","45 to 54 Years","Number","429"
"Deaths Registered Provisional","1980Q2","55 to 64 Years","Number","1121"
"Deaths Registered Provisional","1980Q2","65 to 74 Years","Number","2343"
"Deaths Registered Provisional","1980Q2","75 Years and Over","Number","4021"
"Deaths Registered Provisional","1980Q3","Under 1 Year","Number","174"
"Deaths Registered Provisional","1980Q3","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","1980Q3","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","1980Q3","Under 7 Days","Number",""
"Deaths Registered Provisional","1980Q3","1 to 7 Days","Number",""
"Deaths Registered Provisional","1980Q3","Under 1 Day","Number",""
"Deaths Registered Provisional","1980Q3","1 to 4 Years","Number","48"
"Deaths Registered Provisional","1980Q3","5 to 14 Years","Number","54"
"Deaths Registered Provisional","1980Q3","15 to 24 Years","Number","84"
"Deaths Registered Provisional","1980Q3","25 to 34 Years","Number","95"
"Deaths Registered Provisional","1980Q3","35 to 44 Years","Number","151"
"Deaths Registered Provisional","1980Q3","45 to 54 Years","Number","422"
"Deaths Registered Provisional","1980Q3","55 to 64 Years","Number","1047"
"Deaths Registered Provisional","1980Q3","65 to 74 Years","Number","2013"
"Deaths Registered Provisional","1980Q3","75 Years and Over","Number","3288"
"Deaths Registered Provisional","1980Q4","Under 1 Year","Number","221"
"Deaths Registered Provisional","1980Q4","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","1980Q4","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","1980Q4","Under 7 Days","Number",""
"Deaths Registered Provisional","1980Q4","1 to 7 Days","Number",""
"Deaths Registered Provisional","1980Q4","Under 1 Day","Number",""
"Deaths Registered Provisional","1980Q4","1 to 4 Years","Number","47"
"Deaths Registered Provisional","1980Q4","5 to 14 Years","Number","56"
"Deaths Registered Provisional","1980Q4","15 to 24 Years","Number","94"
"Deaths Registered Provisional","1980Q4","25 to 34 Years","Number","94"
"Deaths Registered Provisional","1980Q4","35 to 44 Years","Number","176"
"Deaths Registered Provisional","1980Q4","45 to 54 Years","Number","442"
"Deaths Registered Provisional","1980Q4","55 to 64 Years","Number","1159"
"Deaths Registered Provisional","1980Q4","65 to 74 Years","Number","2209"
"Deaths Registered Provisional","1980Q4","75 Years and Over","Number","3841"
"Deaths Registered Provisional","1981Q1","Under 1 Year","Number","213"
"Deaths Registered Provisional","1981Q1","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","1981Q1","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","1981Q1","Under 7 Days","Number",""
"Deaths Registered Provisional","1981Q1","1 to 7 Days","Number",""
"Deaths Registered Provisional","1981Q1","Under 1 Day","Number",""
"Deaths Registered Provisional","1981Q1","1 to 4 Years","Number","62"
"Deaths Registered Provisional","1981Q1","5 to 14 Years","Number","29"
"Deaths Registered Provisional","1981Q1","15 to 24 Years","Number","91"
"Deaths Registered Provisional","1981Q1","25 to 34 Years","Number","72"
"Deaths Registered Provisional","1981Q1","35 to 44 Years","Number","156"
"Deaths Registered Provisional","1981Q1","45 to 54 Years","Number","400"
"Deaths Registered Provisional","1981Q1","55 to 64 Years","Number","1147"
"Deaths Registered Provisional","1981Q1","65 to 74 Years","Number","2413"
"Deaths Registered Provisional","1981Q1","75 Years and Over","Number","4549"
"Deaths Registered Provisional","1981Q2","Under 1 Year","Number","182"
"Deaths Registered Provisional","1981Q2","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","1981Q2","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","1981Q2","Under 7 Days","Number",""
"Deaths Registered Provisional","1981Q2","1 to 7 Days","Number",""
"Deaths Registered Provisional","1981Q2","Under 1 Day","Number",""
"Deaths Registered Provisional","1981Q2","1 to 4 Years","Number","43"
"Deaths Registered Provisional","1981Q2","5 to 14 Years","Number","56"
"Deaths Registered Provisional","1981Q2","15 to 24 Years","Number","92"
"Deaths Registered Provisional","1981Q2","25 to 34 Years","Number","101"
"Deaths Registered Provisional","1981Q2","35 to 44 Years","Number","149"
"Deaths Registered Provisional","1981Q2","45 to 54 Years","Number","374"
"Deaths Registered Provisional","1981Q2","55 to 64 Years","Number","994"
"Deaths Registered Provisional","1981Q2","65 to 74 Years","Number","2006"
"Deaths Registered Provisional","1981Q2","75 Years and Over","Number","3732"
"Deaths Registered Provisional","1981Q3","Under 1 Year","Number","180"
"Deaths Registered Provisional","1981Q3","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","1981Q3","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","1981Q3","Under 7 Days","Number",""
"Deaths Registered Provisional","1981Q3","1 to 7 Days","Number",""
"Deaths Registered Provisional","1981Q3","Under 1 Day","Number",""
"Deaths Registered Provisional","1981Q3","1 to 4 Years","Number","34"
"Deaths Registered Provisional","1981Q3","5 to 14 Years","Number","54"
"Deaths Registered Provisional","1981Q3","15 to 24 Years","Number","94"
"Deaths Registered Provisional","1981Q3","25 to 34 Years","Number","76"
"Deaths Registered Provisional","1981Q3","35 to 44 Years","Number","137"
"Deaths Registered Provisional","1981Q3","45 to 54 Years","Number","399"
"Deaths Registered Provisional","1981Q3","55 to 64 Years","Number","974"
"Deaths Registered Provisional","1981Q3","65 to 74 Years","Number","2009"
"Deaths Registered Provisional","1981Q3","75 Years and Over","Number","3487"
"Deaths Registered Provisional","1981Q4","Under 1 Year","Number","191"
"Deaths Registered Provisional","1981Q4","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","1981Q4","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","1981Q4","Under 7 Days","Number",""
"Deaths Registered Provisional","1981Q4","1 to 7 Days","Number",""
"Deaths Registered Provisional","1981Q4","Under 1 Day","Number",""
"Deaths Registered Provisional","1981Q4","1 to 4 Years","Number","33"
"Deaths Registered Provisional","1981Q4","5 to 14 Years","Number","59"
"Deaths Registered Provisional","1981Q4","15 to 24 Years","Number","131"
"Deaths Registered Provisional","1981Q4","25 to 34 Years","Number","106"
"Deaths Registered Provisional","1981Q4","35 to 44 Years","Number","150"
"Deaths Registered Provisional","1981Q4","45 to 54 Years","Number","399"
"Deaths Registered Provisional","1981Q4","55 to 64 Years","Number","1051"
"Deaths Registered Provisional","1981Q4","65 to 74 Years","Number","2271"
"Deaths Registered Provisional","1981Q4","75 Years and Over","Number","3714"
"Deaths Registered Provisional","1982Q1","Under 1 Year","Number","217"
"Deaths Registered Provisional","1982Q1","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","1982Q1","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","1982Q1","Under 7 Days","Number",""
"Deaths Registered Provisional","1982Q1","1 to 7 Days","Number",""
"Deaths Registered Provisional","1982Q1","Under 1 Day","Number",""
"Deaths Registered Provisional","1982Q1","1 to 4 Years","Number","64"
"Deaths Registered Provisional","1982Q1","5 to 14 Years","Number","39"
"Deaths Registered Provisional","1982Q1","15 to 24 Years","Number","90"
"Deaths Registered Provisional","1982Q1","25 to 34 Years","Number","88"
"Deaths Registered Provisional","1982Q1","35 to 44 Years","Number","180"
"Deaths Registered Provisional","1982Q1","45 to 54 Years","Number","447"
"Deaths Registered Provisional","1982Q1","55 to 64 Years","Number","1206"
"Deaths Registered Provisional","1982Q1","65 to 74 Years","Number","2792"
"Deaths Registered Provisional","1982Q1","75 Years and Over","Number","5064"
"Deaths Registered Provisional","1982Q2","Under 1 Year","Number","187"
"Deaths Registered Provisional","1982Q2","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","1982Q2","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","1982Q2","Under 7 Days","Number",""
"Deaths Registered Provisional","1982Q2","1 to 7 Days","Number",""
"Deaths Registered Provisional","1982Q2","Under 1 Day","Number",""
"Deaths Registered Provisional","1982Q2","1 to 4 Years","Number","31"
"Deaths Registered Provisional","1982Q2","5 to 14 Years","Number","56"
"Deaths Registered Provisional","1982Q2","15 to 24 Years","Number","113"
"Deaths Registered Provisional","1982Q2","25 to 34 Years","Number","91"
"Deaths Registered Provisional","1982Q2","35 to 44 Years","Number","160"
"Deaths Registered Provisional","1982Q2","45 to 54 Years","Number","397"
"Deaths Registered Provisional","1982Q2","55 to 64 Years","Number","1085"
"Deaths Registered Provisional","1982Q2","65 to 74 Years","Number","2089"
"Deaths Registered Provisional","1982Q2","75 Years and Over","Number","3801"
"Deaths Registered Provisional","1982Q3","Under 1 Year","Number","171"
"Deaths Registered Provisional","1982Q3","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","1982Q3","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","1982Q3","Under 7 Days","Number",""
"Deaths Registered Provisional","1982Q3","1 to 7 Days","Number",""
"Deaths Registered Provisional","1982Q3","Under 1 Day","Number",""
"Deaths Registered Provisional","1982Q3","1 to 4 Years","Number","36"
"Deaths Registered Provisional","1982Q3","5 to 14 Years","Number","46"
"Deaths Registered Provisional","1982Q3","15 to 24 Years","Number","102"
"Deaths Registered Provisional","1982Q3","25 to 34 Years","Number","110"
"Deaths Registered Provisional","1982Q3","35 to 44 Years","Number","141"
"Deaths Registered Provisional","1982Q3","45 to 54 Years","Number","373"
"Deaths Registered Provisional","1982Q3","55 to 64 Years","Number","933"
"Deaths Registered Provisional","1982Q3","65 to 74 Years","Number","1933"
"Deaths Registered Provisional","1982Q3","75 Years and Over","Number","3218"
"Deaths Registered Provisional","1982Q4","Under 1 Year","Number","172"
"Deaths Registered Provisional","1982Q4","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","1982Q4","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","1982Q4","Under 7 Days","Number",""
"Deaths Registered Provisional","1982Q4","1 to 7 Days","Number",""
"Deaths Registered Provisional","1982Q4","Under 1 Day","Number",""
"Deaths Registered Provisional","1982Q4","1 to 4 Years","Number","50"
"Deaths Registered Provisional","1982Q4","5 to 14 Years","Number","47"
"Deaths Registered Provisional","1982Q4","15 to 24 Years","Number","113"
"Deaths Registered Provisional","1982Q4","25 to 34 Years","Number","117"
