"STATISTIC","Quarter","Age at Death","UNIT","VALUE"
"Deaths Registered Provisional","1961Q2","1 to 4 Years","Number","83"
"Deaths Registered Provisional","1961Q2","5 to 14 Years","Number","59"
"Deaths Registered Provisional","1961Q2","15 to 24 Years","Number","54"
"Deaths Registered Provisional","1961Q2","25 to 34 Years","Number","90"
"Deaths Registered Provisional","1961Q2","35 to 44 Years","Number","216"
"Deaths Registered Provisional","1961Q2","45 to 54 Years","Number","503"
"Deaths Registered Provisional","1961Q2","55 to 64 Years","Number","1064"
"Deaths Registered Provisional","1961Q2","65 to 74 Years","Number","2007"
"Deaths Registered Provisional","1961Q2","75 Years and Over","Number","3704"
"Deaths Registered Provisional","1961Q3","Under 1 Year","Number","443"
"Deaths Registered Provisional","1961Q3","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","1961Q3","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","1961Q3","Under 7 Days","Number",""
"Deaths Registered Provisional","1961Q3","1 to 7 Days","Number",""
"Deaths Registered Provisional","1961Q3","Under 1 Day","Number",""
"Deaths Registered Provisional","1961Q3","1 to 4 Years","Number","52"
"Deaths Registered Provisional","1961Q3","5 to 14 Years","Number","69"
"Deaths Registered Provisional","1961Q3","15 to 24 Years","Number","63"
"Deaths Registered Provisional","1961Q3","25 to 34 Years","Number","81"
"Deaths Registered Provisional","1961Q3","35 to 44 Years","Number","191"
"Deaths Registered Provisional","1961Q3","45 to 54 Years","Number","460"
"Deaths Registered Provisional","1961Q3","55 to 64 Years","Number","892"
"Deaths Registered Provisional","1961Q3","65 to 74 Years","Number","1545"
"Deaths Registered Provisional","1961Q3","75 Years and Over","Number","2917"
"Deaths Registered Provisional","1961Q4","Under 1 Year","Number","406"
"Deaths Registered Provisional","1961Q4","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","1961Q4","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","1961Q4","Under 7 Days","Number",""
"Deaths Registered Provisional","1961Q4","1 to 7 Days","Number",""
"Deaths Registered Provisional","1961Q4","Under 1 Day","Number",""
"Deaths Registered Provisional","1961Q4","1 to 4 Years","Number","81"
"Deaths Registered Provisional","1961Q4","5 to 14 Years","Number","61"
"Deaths Registered Provisional","1961Q4","15 to 24 Years","Number","64"
"Deaths Registered Provisional","1961Q4","25 to 34 Years","Number","90"
"Deaths Registered Provisional","1961Q4","35 to 44 Years","Number","202"
"Deaths Registered Provisional","1961Q4","45 to 54 Years","Number","483"
"Deaths Registered Provisional","1961Q4","55 to 64 Years","Number","959"
"Deaths Registered Provisional","1961Q4","65 to 74 Years","Number","1943"
"Deaths Registered Provisional","1961Q4","75 Years and Over","Number","3422"
"Deaths Registered Provisional","1962Q1","Under 1 Year","Number","531"
"Deaths Registered Provisional","1962Q1","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","1962Q1","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","1962Q1","Under 7 Days","Number",""
"Deaths Registered Provisional","1962Q1","1 to 7 Days","Number",""
"Deaths Registered Provisional","1962Q1","Under 1 Day","Number",""
"Deaths Registered Provisional","1962Q1","1 to 4 Years","Number","78"
"Deaths Registered Provisional","1962Q1","5 to 14 Years","Number","57"
"Deaths Registered Provisional","1962Q1","15 to 24 Years","Number","54"
"Deaths Registered Provisional","1962Q1","25 to 34 Years","Number","95"
"Deaths Registered Provisional","1962Q1","35 to 44 Years","Number","216"
"Deaths Registered Provisional","1962Q1","45 to 54 Years","Number","595"
"Deaths Registered Provisional","1962Q1","55 to 64 Years","Number","1249"
"Deaths Registered Provisional","1962Q1","65 to 74 Years","Number","2485"
"Deaths Registered Provisional","1962Q1","75 Years and Over","Number","5007"
"Deaths Registered Provisional","1962Q2","Under 1 Year","Number","477"
"Deaths Registered Provisional","1962Q2","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","1962Q2","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","1962Q2","Under 7 Days","Number",""
"Deaths Registered Provisional","1962Q2","1 to 7 Days","Number",""
"Deaths Registered Provisional","1962Q2","Under 1 Day","Number",""
"Deaths Registered Provisional","1962Q2","1 to 4 Years","Number","76"
"Deaths Registered Provisional","1962Q2","5 to 14 Years","Number","52"
"Deaths Registered Provisional","1962Q2","15 to 24 Years","Number","75"
"Deaths Registered Provisional","1962Q2","25 to 34 Years","Number","86"
"Deaths Registered Provisional","1962Q2","35 to 44 Years","Number","216"
"Deaths Registered Provisional","1962Q2","45 to 54 Years","Number","527"
"Deaths Registered Provisional","1962Q2","55 to 64 Years","Number","1078"
"Deaths Registered Provisional","1962Q2","65 to 74 Years","Number","2055"
"Deaths Registered Provisional","1962Q2","75 Years and Over","Number","4090"
"Deaths Registered Provisional","1962Q3","Under 1 Year","Number","381"
"Deaths Registered Provisional","1962Q3","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","1962Q3","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","1962Q3","Under 7 Days","Number",""
"Deaths Registered Provisional","1962Q3","1 to 7 Days","Number",""
"Deaths Registered Provisional","1962Q3","Under 1 Day","Number",""
"Deaths Registered Provisional","1962Q3","1 to 4 Years","Number","49"
"Deaths Registered Provisional","1962Q3","5 to 14 Years","Number","61"
"Deaths Registered Provisional","1962Q3","15 to 24 Years","Number","71"
"Deaths Registered Provisional","1962Q3","25 to 34 Years","Number","78"
"Deaths Registered Provisional","1962Q3","35 to 44 Years","Number","201"
"Deaths Registered Provisional","1962Q3","45 to 54 Years","Number","521"
"Deaths Registered Provisional","1962Q3","55 to 64 Years","Number","942"
"Deaths Registered Provisional","1962Q3","65 to 74 Years","Number","1668"
"Deaths Registered Provisional","1962Q3","75 Years and Over","Number","3049"
"Deaths Registered Provisional","1962Q4","Under 1 Year","Number","408"
"Deaths Registered Provisional","1962Q4","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","1962Q4","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","1962Q4","Under 7 Days","Number",""
"Deaths Registered Provisional","1962Q4","1 to 7 Days","Number",""
"Deaths Registered Provisional","1962Q4","Under 1 Day","Number",""
"Deaths Registered Provisional","1962Q4","1 to 4 Years","Number","58"
"Deaths Registered Provisional","1962Q4","5 to 14 Years","Number","62"
"Deaths Registered Provisional","1962Q4","15 to 24 Years","Number","70"
"Deaths Registered Provisional","1962Q4","25 to 34 Years","Number","79"
"Deaths Registered Provisional","1962Q4","35 to 44 Years","Number","195"
"Deaths Registered Provisional","1962Q4","45 to 54 Years","Number","508"
"Deaths Registered Provisional","1962Q4","55 to 64 Years","Number","1043"
"Deaths Registered Provisional","1962Q4","65 to 74 Years","Number","1857"
"Deaths Registered Provisional","1962Q4","75 Years and Over","Number","3243"
"Deaths Registered Provisional","1963Q1","Under 1 Year","Number","457"
"Deaths Registered Provisional","1963Q1","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","1963Q1","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","1963Q1","Under 7 Days","Number",""
"Deaths Registered Provisional","1963Q1","1 to 7 Days","Number",""
"Deaths Registered Provisional","1963Q1","Under 1 Day","Number",""
"Deaths Registered Provisional","1963Q1","1 to 4 Years","Number","54"
"Deaths Registered Provisional","1963Q1","5 to 14 Years","Number","51"
"Deaths Registered Provisional","1963Q1","15 to 24 Years","Number","61"
"Deaths Registered Provisional","1963Q1","25 to 34 Years","Number","83"
"Deaths Registered Provisional","1963Q1","35 to 44 Years","Number","218"
"Deaths Registered Provisional","1963Q1","45 to 54 Years","Number","553"
"Deaths Registered Provisional","1963Q1","55 to 64 Years","Number","1265"
"Deaths Registered Provisional","1963Q1","65 to 74 Years","Number","2492"
"Deaths Registered Provisional","1963Q1","75 Years and Over","Number","5028"
"Deaths Registered Provisional","1963Q2","Under 1 Year","Number","449"
"Deaths Registered Provisional","1963Q2","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","1963Q2","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","1963Q2","Under 7 Days","Number",""
"Deaths Registered Provisional","1963Q2","1 to 7 Days","Number",""
"Deaths Registered Provisional","1963Q2","Under 1 Day","Number",""
"Deaths Registered Provisional","1963Q2","1 to 4 Years","Number","57"
"Deaths Registered Provisional","1963Q2","5 to 14 Years","Number","64"
"Deaths Registered Provisional","1963Q2","15 to 24 Years","Number","65"
"Deaths Registered Provisional","1963Q2","25 to 34 Years","Number","100"
"Deaths Registered Provisional","1963Q2","35 to 44 Years","Number","233"
"Deaths Registered Provisional","1963Q2","45 to 54 Years","Number","549"
"Deaths Registered Provisional","1963Q2","55 to 64 Years","Number","1129"
"Deaths Registered Provisional","1963Q2","65 to 74 Years","Number","2084"
"Deaths Registered Provisional","1963Q2","75 Years and Over","Number","3951"
"Deaths Registered Provisional","1963Q3","Under 1 Year","Number","384"
"Deaths Registered Provisional","1963Q3","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","1963Q3","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","1963Q3","Under 7 Days","Number",""
"Deaths Registered Provisional","1963Q3","1 to 7 Days","Number",""
"Deaths Registered Provisional","1963Q3","Under 1 Day","Number",""
"Deaths Registered Provisional","1963Q3","1 to 4 Years","Number","57"
"Deaths Registered Provisional","1963Q3","5 to 14 Years","Number","49"
"Deaths Registered Provisional","1963Q3","15 to 24 Years","Number","72"
"Deaths Registered Provisional","1963Q3","25 to 34 Years","Number","65"
"Deaths Registered Provisional","1963Q3","35 to 44 Years","Number","192"
"Deaths Registered Provisional","1963Q3","45 to 54 Years","Number","455"
"Deaths Registered Provisional","1963Q3","55 to 64 Years","Number","972"
"Deaths Registered Provisional","1963Q3","65 to 74 Years","Number","1734"
"Deaths Registered Provisional","1963Q3","75 Years and Over","Number","3125"
"Deaths Registered Provisional","1963Q4","Under 1 Year","Number","391"
"Deaths Registered Provisional","1963Q4","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","1963Q4","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","1963Q4","Under 7 Days","Number",""
"Deaths Registered Provisional","1963Q4","1 to 7 Days","Number",""
"Deaths Registered Provisional","1963Q4","Under 1 Day","Number",""
"Deaths Registered Provisional","1963Q4","1 to 4 Years","Number","61"
"Deaths Registered Provisional","1963Q4","5 to 14 Years","Number","50"
"Deaths Registered Provisional","1963Q4","15 to 24 Years","Number","62"
"Deaths Registered Provisional","1963Q4","25 to 34 Years","Number","78"
